k,k_eff,N,delta,d,sigma,block_bits,blocks,d0,h,outer_log2,outer_z,inner_log2,term_log2,cum_log2
1048576,1048576,2097152,0.09,188743,32,256,4096,32,1,-inf,,-2.473911,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,2,-inf,,-4.947821,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,3,-inf,,-7.421730,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,4,-inf,,-9.895638,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,5,-inf,,-12.369546,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,6,-inf,,-14.843453,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,7,-inf,,-17.317359,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,8,-inf,,-19.791265,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,9,-inf,,-22.265170,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,10,-inf,,-24.739074,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,11,-inf,,-27.212977,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,12,-inf,,-29.686880,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,13,-inf,,-32.160782,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,14,-inf,,-34.634683,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,15,-inf,,-37.108583,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,16,-inf,,-39.582482,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,17,-inf,,-42.056381,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,18,-inf,,-44.530279,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,19,-inf,,-47.004175,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,20,-inf,,-49.478071,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,21,-inf,,-51.951966,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,22,-inf,,-54.425861,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,23,-inf,,-56.899754,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,24,-inf,,-59.373646,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,25,-inf,,-61.847537,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,26,-inf,,-64.321426,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,27,-inf,,-66.795315,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,28,-inf,,-69.269202,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,29,-inf,,-71.743088,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,30,-inf,,-74.216973,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,31,-inf,,-76.690856,-inf,-inf
1048576,1048576,2097152,0.09,188743,32,256,4096,32,32,37.629712,0.202087410346,-79.164737,-41.535025,-41.535025
1048576,1048576,2097152,0.09,188743,32,256,4096,32,33,39.148185,0.364110441035,-81.638616,-42.490432,-40.935045
1048576,1048576,2097152,0.09,188743,32,256,4096,32,34,40.605737,0.364110441035,-84.112494,-43.506757,-40.710752
1048576,1048576,2097152,0.09,188743,32,256,4096,32,35,42.063289,0.364110441035,-86.586369,-44.523080,-40.611547
1048576,1048576,2097152,0.09,188743,32,256,4096,32,36,43.520840,0.364110441035,-89.060242,-45.539401,-40.564913
1048576,1048576,2097152,0.09,188743,32,256,4096,32,37,44.978392,0.364110441035,-91.534112,-46.555719,-40.542403
1048576,1048576,2097152,0.09,188743,32,256,4096,32,38,46.435944,0.364110441035,-94.007979,-47.572035,-40.531403
1048576,1048576,2097152,0.09,188743,32,256,4096,32,39,47.893496,0.364110441035,-96.481843,-48.588347,-40.525996
1048576,1048576,2097152,0.09,188743,32,256,4096,32,40,49.351048,0.364110441035,-98.955704,-49.604656,-40.523330
1048576,1048576,2097152,0.09,188743,32,256,4096,32,41,50.808600,0.364110441035,-101.429561,-50.620961,-40.522014
1048576,1048576,2097152,0.09,188743,32,256,4096,32,42,52.266152,0.364110441035,-103.903413,-51.637261,-40.521364
1048576,1048576,2097152,0.09,188743,32,256,4096,32,43,53.723704,0.364110441035,-106.377261,-52.653557,-40.521043
1048576,1048576,2097152,0.09,188743,32,256,4096,32,44,55.181256,0.364110441035,-108.851104,-53.669847,-40.520884
1048576,1048576,2097152,0.09,188743,32,256,4096,32,45,56.638808,0.364110441035,-111.324940,-54.686132,-40.520805
1048576,1048576,2097152,0.09,188743,32,256,4096,32,46,58.096360,0.364110441035,-113.798770,-55.702410,-40.520766
1048576,1048576,2097152,0.09,188743,32,256,4096,32,47,59.553912,0.364110441035,-116.272593,-56.718681,-40.520747
1048576,1048576,2097152,0.09,188743,32,256,4096,32,48,61.011464,0.364110441035,-118.746407,-57.734943,-40.520738
1048576,1048576,2097152,0.09,188743,32,256,4096,32,49,62.469016,0.364110441035,-121.220212,-58.751196,-40.520733
1048576,1048576,2097152,0.09,188743,32,256,4096,32,50,63.926568,0.364110441035,-123.694007,-59.767439,-40.520731
1048576,1048576,2097152,0.09,188743,32,256,4096,32,51,65.384120,0.364110441035,-126.167791,-60.783670,-40.520730
1048576,1048576,2097152,0.09,188743,32,256,4096,32,52,66.841672,0.364110441035,-128.641561,-61.799888,-40.520729
1048576,1048576,2097152,0.09,188743,32,256,4096,32,53,68.299224,0.364110441035,-131.115317,-62.816092,-40.520729
1048576,1048576,2097152,0.09,188743,32,256,4096,32,54,69.756776,0.364110441035,-133.589056,-63.832280,-40.520729
1048576,1048576,2097152,0.09,188743,32,256,4096,32,55,71.214328,0.364110441035,-136.062777,-64.848449,-40.520729
1048576,1048576,2097152,0.09,188743,32,256,4096,32,56,72.671880,0.364110441035,-138.536478,-65.864598,-40.520729
1048576,1048576,2097152,0.09,188743,32,256,4096,32,57,74.129432,0.364110441035,-141.010156,-66.880724,-40.520729
1048576,1048576,2097152,0.09,188743,32,256,4096,32,58,75.586984,0.364110441035,-143.483808,-67.896823,-40.520729
1048576,1048576,2097152,0.09,188743,32,256,4096,32,59,77.044536,0.364110441035,-145.957431,-68.912895,-40.520728
